Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org/ontologies/umls/cui,http://bioportal.bioontology.org/ontologies/umls/hasSTY,http://bioportal.bioontology.org/ontologies/umls/tui,http://chu-rouen.fr/cismef/CIM-10#CIM10_EXCLUS,http://chu-rouen.fr/cismef/CIM-10#DISPLAY_LABEL,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_INCLUDE,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_NOTE,http://chu-rouen.fr/cismef/CIM-10#TYPE,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/linguistics/gold/freeTranslation,http://purl.org/linguistics/gold/translation,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#broadMatch,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#exactMatch,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/2004/02/skos/core#prefLabel;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#G50.1,G50.1 - algie faciale atypique,algie faciale atypique,,false,C0154729,http://purl.lirmm.fr/ontology/STY/T184,http://chu-rouen.fr/cismef/CIM-10#G50,C0154729,http://purl.lirmm.fr/ontology/STY/T184,T184,,,,,,CIM-10:G50.1,http://purl.bioontology.org/ontology/ICD10/G50.1,,algie faciale atypique,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/G50.1,G50.1,G50.1 - algie faciale atypique;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#F01.021,""F01.021 - Démence vasculaire moyenne à début aigu, avec symptômes essentiellement hallucinatoires"",""démence vasculaire moyenne à début aigu, avec symptômes essentiellement hallucinatoires"",,false,C0011269,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#F01.02,C0011269,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:F01.021,,http://purl.bioontology.org/ontology/ICD10/F01,""démence vasculaire moyenne à début aigu, avec symptômes essentiellement hallucinatoires"",http://purl.bioontology.org/ontology/ICD10/F01,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,F01.021,""F01.021 - Démence vasculaire moyenne à début aigu, avec symptômes essentiellement hallucinatoires""";;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#P36.10,""P36.10 - septicemie du nouveau-ne a streptocoques, autres"",""septicemie du nouveau-ne a streptocoques, autres"",,false,C3665339,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#P36.1,C3665339,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:P36.10,,http://purl.bioontology.org/ontology/ICD10/P36,""septicemie du nouveau-ne a streptocoques, autres"",http://purl.bioontology.org/ontology/ICD10/P36,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,P36.10,""P36.10 - septicemie du nouveau-ne a streptocoques, autres""";;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#M79.3,""M79.3 - panniculite, sans précision"",""panniculite, sans précision"",,false,C0030326,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M79,C0030326,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M79.3,http://purl.bioontology.org/ontology/ICD10/M79.3,,""panniculite, sans précision"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/M79.3,M79.3,""M79.3 - panniculite, sans précision""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#F14.52,F14.52 - troubles mentaux et du comportement liés à l'utilisation de cocaïne | trouble psychotique | avec hallucinations au premier plan,troubles mentaux et du comportement liés à l'utilisation de cocaïne | trouble psychotique | avec hallucinations au premier plan,,false,C0349141,http://purl.lirmm.fr/ontology/STY/T048,http://chu-rouen.fr/cismef/CIM-10#F14.5,C0349141,http://purl.lirmm.fr/ontology/STY/T048,T048,,,,,,CIM-10:F14.52,,http://purl.bioontology.org/ontology/ICD10/F14,troubles mentaux et du comportement liés à l'utilisation de cocaïne | trouble psychotique | avec hallucinations au premier plan,http://purl.bioontology.org/ontology/ICD10/F14,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,F14.52,F14.52 - troubles mentaux et du comportement liés à l'utilisation de cocaïne | trouble psychotique | avec hallucinations au premier plan;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#T18.9,""T18.9 - corps étranger dans les voies digestives, partie non précisée"",""corps étranger avalé sai|corps étranger dans les voies digestives, partie non précisée|appareil digestif sai"",,false,C0016546,http://purl.lirmm.fr/ontology/STY/T033,http://chu-rouen.fr/cismef/CIM-10#T18,C0016546,http://purl.lirmm.fr/ontology/STY/T033,T033,,,,,,CIM-10:T18.9,http://purl.bioontology.org/ontology/ICD10/T18.9,,""corps étranger avalé sai|corps étranger dans les voies digestives, partie non précisée|appareil digestif sai"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/T18.9,T18.9,""T18.9 - corps étranger dans les voies digestives, partie non précisée""";;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#W38.9,""W38.9 - explosion et éclatement d'autres appareils précisés sous pression | lieu, sans précision"",""explosion et éclatement d'autres appareils précisés sous pression | lieu, sans précision"",,false,C0479073,http://purl.lirmm.fr/ontology/STY/T037,http://chu-rouen.fr/cismef/CIM-10#W38,C0479073,http://purl.lirmm.fr/ontology/STY/T037,T037,,,,,,CIM-10:W38.9,,http://purl.bioontology.org/ontology/ICD10/W38,""explosion et éclatement d'autres appareils précisés sous pression | lieu, sans précision"",http://purl.bioontology.org/ontology/ICD10/W38,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,W38.9,""W38.9 - explosion et éclatement d'autres appareils précisés sous pression | lieu, sans précision""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M03.29,M03.29 - autres arthropathies post-infectieuses au cours de maladies classées ailleurs | siège non précisé,autres arthropathies post-infectieuses au cours de maladies classées ailleurs | siège non précisé,,false,C0694514,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M03.2,C0694514,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M03.29,,http://purl.bioontology.org/ontology/ICD10/M03,autres arthropathies post-infectieuses au cours de maladies classées ailleurs | siège non précisé,http://purl.bioontology.org/ontology/ICD10/M03,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M03.29,M03.29 - autres arthropathies post-infectieuses au cours de maladies classées ailleurs | siège non précisé;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#F33.1,""F33.1 - trouble dépressif récurrent, épisode actuel moyen"",""trouble dépressif récurrent, épisode actuel moyen"",""Trouble caractérisé par la survenue répétée dépisodes dépressifs, lépisode actuel étant moyen (F32.1), en labsence de tout antécédent de manie.|trouble caractérisé par la survenue répétée dépisodes dépressifs, lépisode actuel étant moyen (f32.1), en labsence de tout antécédent de manie."",false,C0154411,http://purl.lirmm.fr/ontology/STY/T048,http://chu-rouen.fr/cismef/CIM-10#F33,C0154411,http://purl.lirmm.fr/ontology/STY/T048,T048,,,,,,CIM-10:F33.1,http://purl.bioontology.org/ontology/ICD10/F33.1,,""trouble dépressif récurrent, épisode actuel moyen"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,""Trouble caractérisé par la survenue répétée dépisodes dépressifs, lépisode actuel étant moyen (F32.1), en labsence de tout antécédent de manie.|trouble caractérisé par la survenue répétée dépisodes dépressifs, lépisode actuel étant moyen (f32.1), en labsence de tout antécédent de manie."",http://purl.bioontology.org/ontology/ICD10/F33.1,F33.1,""F33.1 - trouble dépressif récurrent, épisode actuel moyen""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#D58,D58 - autres anémies hémolytiques héréditaires,autres anémies hémolytiques héréditaires,,false,C0494230,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#(D55-D59),C0494230,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:D58,http://purl.bioontology.org/ontology/ICD10/D58,,autres anémies hémolytiques héréditaires,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/D58,D58,D58 - autres anémies hémolytiques héréditaires;;;;;;;;;;;;;;;;
